,"municipios","Property Name Occupied","Data","Area","Families","Organization"
"Rio Grande do Sul","Rosário do Sul","Faz. Tarumã/Stora Enso","04/03/2008","2121",,"Via Campesina"
"Rio Grande do Sul","São Gabriel","Complexo Southal","14/04/2008","13222","700","MST"
"Rondônia","Corumbiara","Faz. Santa Elina/Água Viva","11/05/2008","18039","100","LCP"
"Rondônia","Porto Velho","T.I. Karitiana/Aldeia Myniwin/Igarapé Preto","18/07/2008",,"20","Índios"
"Rondônia","Porto Velho","Faz. Mutum/Dipar/Acamp. Nova Conquista","08/09/2008",,"30","LCP"
"Roraima","Boa Vista","Fazenda em Bom Intento","11/04/2008","4000","500","MST"
"Santa Catarina","Campo Belo do Sul","Fazenda Santa Clara","15/01/2008","1200","30","MST"
"Santa Catarina","Campo Erê","Faz. Perseverança/Araçá/Acamp. Mestre Antônio","17/08/2008","600","150","MST"
"Santa Catarina","Correia Pinto","Área em Correia Pinto Velho","22/06/2008","130","150","MST"
"Santa Catarina","Mafra","Fazenda Batatais","01/06/2008","600","200","MST"
"Santa Catarina","Taió","Fazenda Mato Queimado/Piazera","30/01/2008","935","60","MST"
"São Paulo","Agudos","Faz. Águas do Pilintra/Ambev/Acamp. Eldorado dosCarajás","12/04/2008","5400","600","MST"
"São Paulo","Agudos","Faz. Tangará/Marruá","20/11/2008","750","200","MST"
"São Paulo","Americana","Faz. Salto Grande/Saltinho/Acamp. Milton Santos","17/04/2008","216","30","MST"
"São Paulo","Americana","Área da Usina Ester","24/04/2008",,"30","MST"
"São Paulo",,"Fazenda Santo Henrique/Cutrale","18/04/2008",,"300","MST"
"São Paulo","Dracena","Fazenda das Cobras/Cobra","04/02/2008","550","14","MAST/ MTB*/Sintraf/ STR/Uniterra"
"São Paulo","Euclides da Cunha Paulista","Fazenda Iaras I","03/02/2008",,,"MAST/ MTB/Sintraf/ STR/Uniterra"
"São Paulo","Euclides da Cunha Paulista","Fazenda Iaras I","18/10/2008","871","24","MST***"
"São Paulo","Flora Rica","Fazenda Santa Lourdes","03/02/2008",,,"MAST/ MTB/Sintraf/ STR/Uniterra"
"São Paulo","Flora Rica","Fazenda Santa Lourdes","30/03/2008",,"16","MAST/ MTB*/Sintraf/ STR/Uniterra"
"São Paulo","Iaras","Fazenda Turvinho/Empresa Cutrale","18/04/2008","800","120","MST"
"São Paulo","Iepê","Fazenda Esperança","13/02/2008",,,"MAST/ MST/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Iepê","Fazenda Esperança","21/03/2008","503","16","MAST/ MTB*/Sintraf/ STR"
"São Paulo","Itatiba","Faz. Haras Rosa do Sul/Comuna Che Guevara","01/03/2008","300","300","MST"
"São Paulo","João Ramalho","Fazenda São Mateus","07/04/2008",,"14","SI"
"São Paulo","Junqueirópolis","Fazenda Nossa Senhora de Lurdes","18/10/2008",,"10","MST"
"São Paulo","Martinópolis","Fazenda Estrela do Laranja Doce","04/02/2008","4000","14","MAST/ MST/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Martinópolis","Fazenda Boa Esperança","03/02/2008",,"12","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Martinópolis","Fazenda Santo André","28/10/2008",,,"MST"
"São Paulo","Martinópolis","Fazenda Santo André","09/11/2008","7000","80","MST"
"São Paulo","Mirante do Paranapanema","Área da Odebrecht/Usina Conquista do Pontal","10/06/2008",,"95","MST/ ViaCampesina"
"São Paulo","Pereira Barreto","Faz. Jamaica/Acamp. Olga Benário","15/05/2008","747","300","MST"
"São Paulo","Piquerobi","Fazenda Palmares","07/02/2008",,,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Piquerobi","Fazenda Palmares","03/11/2008","2500","30","MAST/ MST***"
"São Paulo","Pirapozinho/Presidente Bernardes","Fazenda São Luiz","04/02/2008","960","110","MST"
"São Paulo","Presidente Bernardes","Fazenda Guarani/Guaranizinho","03/02/2008",,,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Bernardes","Fazenda Guarani/Guaranizinho","07/04/2008",,,"MST***"
"São Paulo","Presidente Bernardes","Fazenda Guarani/Guaranizinho","18/10/2008","677","10","MST***"
"São Paulo","Presidente Epitácio","Fazenda Alvorada","15/03/2008",,"10","MLST"
"São Paulo","Presidente Epitácio","Fazenda Santo Antônio","09/02/2008",,"58","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Epitácio","Faz. Sul Mineira/Liberdade","11/02/2008","1000","50","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Epitácio","Fazenda Santa Maria","09/02/2008",,"58","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Epitácio","Fazenda Nova Lagoinha","10/02/2008","5000",,"MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
"São Paulo","Presidente Epitácio","Fazenda Aliança","10/02/2008",,"14","MAST/ MST***/MTB*/ Sintraf/STR/ Uniterra"
