Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
"Barra do Bugres/ PortoEstrela",Com. Quilombolas Vãozinho e Voltinha,23/07/2009,63,Apropriação Particular,"Impedimento deacesso à água",,
Porto Alegre do Norte,Assent. Fartura/Faz. Roncador,19/06/2009,75,Apropriação Particular,"Impedimento deacesso à água",,
Subtotal:,2,,138,,,,
Mato Grosso do Sul,,,,,,,
Dourados,"Com. Apyka'y/Acamp. na BR-463/Km10/Ao lado da Faz. Serrana",18/09/2009,15,Apropriação Particular,"Impedimento deacesso à água",,
Subtotal:,1,,15,,,,
Minas Gerais,,,,,,,
Aimorés/ Resplendor/ Itueta,"Usina Hidrelétrica de Aimorés/Vale doRio Doce",08/03/2009,,Uso e preservação,"Destruição e oupoluição",,
Laranjal,Hidrelétrica Barra da Braúna,16/09/2009,1000,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
"Manga/ São João dasMissões",Comunidades do Baixo Itacarambi,14/08/2009,,Uso e preservação,Divergência,,
"Montalvânia/ Januária/Bonito de Minas",Rio Carinhanha/ 32 Comunidades,01/11/2009,600,Barragens e Açudes,"Destruição e oupoluição",,
"Pirapora/ Três Marias/Vazante","Votorantim-VM/Barrag.TrêsMarias/CMM/Cemig",02/10/2009,1500,Barragens e Açudes,"Destruição e oupoluição",,
Subtotal:,5,,3100,,,,
Pará,,,,,,,
Municípios,Nome do Lugar,Data,Famílias,Tipo do Conflito,Situação do Conflito,,
Cachoeira do Arari,Com. Quil. de Gurupá,09/01/2009,145,Apropriação Particular,"Ameaça deexpropriação",,
Juruti,"Assent. Agroextrativista Juruti Velho eSocó/Alcoa",28/01/2009,2000,Uso e preservação,"Destruição e oupoluição",,
Tucuruí,"Barragem Tucuruí/Eletronorte/T.I.Parakanã",16/04/2009,,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Tucuruí,"Barragem Tucuruí/Eletronorte/T.I.Parakanã",26/04/2009,,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Subtotal:,5,,8145,,,,
Paraíba,,,,,,,
Aroeiras,Barragem Acauã,10/05/2009,800,Barragens e Açudes,"Reassentamentoinadequado",,
Subtotal:,1,,800,,,,
Paraná,,,,,,,
Clevelândia/ Honório Serpa,Barragem do Rio Chopim,16/10/2009,2000,Barragens e Açudes,"Falta de projeto dereassentamento",,
Subtotal:,1,,2000,,,,
Pernambuco,,,,,,,
"Jaboatão dos Guararapes/Recife",Usina Bulhões,05/04/2009,,Uso e preservação,"Destruição e oupoluição",,
Sirinhaém,Us. Trapiche/Ilha de Constantino,29/10/2009,53,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,2,,53,,,,
Piauí,,,,,,,
Barras,Barra do Taquari,01/01/2009,25,Uso e preservação,"Impedimento deacesso à água",,
Bocaina,Lagoa do Cajueiro,30/11/2009,78,Uso e preservação,Divergência,,
Manoel Emídio,"Colônia de Pescadores V-3/RioGurguéia",08/08/2009,100,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,3,,203,,,,
Rio de Janeiro,,,,,,,
"Rio de Janeiro/ Magé/Niterói/ São Gonçalo","Comunidades da Baía deGuanabara/GDK/Petrobrás",22/05/2009,3500,Uso e preservação,"Destruição e oupoluição",,
"Rio de Janeiro/ Mangaratiba/Itaguaí","Baía de Sepetiba/Vale/Thyssen KruppCSA",05/02/2009,8075,Uso e preservação,"Destruição e oupoluição",,
São Pedro da Aldeia,Lagoa de Araruama,24/01/2009,4000,Uso e preservação,"Destruição e oupoluição",,
Subtotal:,3,,15575,,,,
Rio Grande do Sul,,,,,,,
Barracão,Usina Hidrelétrica Moinho,27/01/2009,40,Barragens e Açudes,"Não cumprimento deprocedimentos legais",,
Nonoai,UHE de Monjolinho/Engevix,19/06/2009,600,Barragens e Açudes,"Ameaça deexpropriação",,
Subtotal:,2,,640,,,,
Rondônia,,,,,,,
Porto Velho,UHE Jirau e Sto. Antônio/Rio Madeira,10/08/2009,5000,Barragens e Açudes,"Falta de projeto dereassentamento",,
Subtotal:,1,,5000,,,,
Santa Catarina,,,,,,,
"Águas de Chapecó/Caxambu do Sul",Usina Hidrelétrica Foz do Chapecó,07/12/2009,600,Barragens e Açudes,"Falta de projeto dereassentamento",,
