municipios,Property Name Occupied,Data,Area,Families,Organization
Tucuruí,Acamp. João Canuto/Faz. Arumatheua,21/01/200,2500,72,SI
Subtotal:,17,,155930,2267,
Paraíba,,,,,
Algodão de Jandaíra,Fazenda Serra Preta,17/04/200,,60,MST
Aparecida/Sousa,Acamp. Nova Vida e Pau d' Arco/Várzeas de Sousa,08/06/200,1000,150,MST
Boqueirão,Fazenda Barrocas,17/04/200,,75,MST
Caaporã,Fazenda Alvorada,05/09/200,,100,MST
Imaculada,Faz. Coruja e Saco do Cosme,26/10/200,1750,40,MST
Mari,Faz. N. Sra. de Lourdes/Us. Jacunga,10/06/200,1100,40,Via Campesina
Pilar,Fazenda Barra II,09/08/200,40,100,MST
Santana dos Garrotes,Faz. em Santana dos Garrotes,17/04/200,,60,MST
São Domingos do Pombal,Sítio Verde I e II/Faz. São Lourenço,07/12/200,,60,MST
São Mamede,Faz. em São Mamede,17/04/200,,100,MST
Subtotal:,10,,3890,785,
Paraná,,,,,
Alvorada do Sul,Fazenda Itaverá/Us. Central do Paraná S.A,06/12/200,1000,200,Contag
Barbosa Ferraz,Fazenda São Paulo,07/07/200,414,150,MST
Cruzeiro do Oeste,Fazenda Santa Fé,23/12/200,480,70,Contag
Jacarezinho,Fazenda Itapema,12/04/200,,250,MST
Jaguapitã,Fazenda Cedro,23/05/200,2640,20,MAST
Ortigueira,Faz. Copramil/Acamp. Terra Livre,02/04/200,360,35,MST
Palmas,Faz. Conchas/Palmas,22/02/200,,150,MST
Porecatu,Us. Central do Paraná/Faz. Variante,01/11/200,1362,400,MST
Primeiro de Maio,Faz. Coopersucar/Agrop. Neblina,03/01/200,,,MST
Primeiro de Maio,Faz. Coopersucar/Agrop. Neblina,07/05/200,475,50,MST
Reserva do Iguaçu,Faz. Reserva/Acamp. Brasil,02/05/200,2619,50,MST
Reserva do Iguaçu,Fazenda Rodeio,28/09/200,,99,MST
Reserva do Iguaçu,Fazs. Sta. Maria e Jussara,22/05/200,,100,MST
São Miguel do Iguaçu,"T.I. Avá Guarani / Ocuí/Res. Sta. Rosa doOcuí/Itaipu",15/05/200,231,22,Índios
Subtotal:,14,,9581,1596,
Pernambuco,,,,,
Água Preta,Usina Sta. Tereza/Terezinha,14/04/200,,250,MST
Águas Belas,Fazenda Nova,15/04/200,,100,MST
Aliança,Usina Olho d' Água,20/06/200,,150,MST
Altinho,Fazenda Porteira,30/03/200,500,80,Fetraf
Altinho/São Caitano,Fazenda Santo Antônio,30/03/200,650,90,Fetraf
Barreiros,Engenho Bombarda,14/04/200,,70,MST
Belém de Maria/Caruaru,Fazenda Bananeiras,13/04/200,,150,MST
Buíque,Fazenda Grande,13/04/200,,150,MST
Cabo de Santo Agostinho,Faz. Brilhante/Us. Liberdade,15/04/200,1200,150,MST
Cabrobó,Acampamento Liberdade,13/04/200,,200,MST
Carnaubeira da Penha,Fazenda José Gomes,13/04/200,,200,MST
Caruaru,Fazenda Serraria,14/03/200,600,50,MST
Catende,Fazenda Bom Retiro,14/04/200,,150,MST
Catende,Engenho Buriti,14/04/200,,80,MST
Custodia,Fazenda Samambaia,16/09/200,,28,CPT
Escada,Engenho Dois Braços de Cima,13/04/200,550,70,MST
Escada,Engenho São José,13/04/200,460,100,MST
Goiana,Engenho Gurijó,13/04/200,,80,MST
Gravatá,Fazenda Serra Grande,13/04/200,,35,MST
Ibimirim,Fazenda Boa Vista,13/04/200,,150,MST
Ibimirim,Fazenda Carnaúba,14/03/200,,100,MST
Itambé,Engenho Paraguaçu,13/04/200,,130,MST
Jaboatão dos Guararapes,Eng. São Joaquim/Us. Colônia,14/04/200,408,50,MST
Lagoa Grande,Fazenda Passarinho,14/04/200,,180,MST
Moreno,Engenho Várzea do Una,18/05/200,800,100,MST
Moreno,Engenho Xixaim,12/04/200,,100,MST
Ouricuri,Fazenda Serra Preta,05/11/200,,,MST
Paranatama,Fazenda Rancho Verde,14/04/200,1350,80,MST
Paudalho,Engenho Planalto,16/01/200,1800,60,MST
Pesqueira,Fazenda Ipanema,12/04/200,1500,60,MST
,Fazenda Picos,13/04/200,,500,MST
Municípios,Nome do Imóvel Ocupado,Data,Área,Famílias,Organização
Petrolândia,Malhada Vermelha/Chesf,14/04/2008,,100,MST
Petrolina,Fazenda Aracatu,13/04/2008,,200,MST
Quipapá,Engenho Rio Branco,30/03/2008,350,80,Fetraf
Santa Maria da Boa Vista,Fazenda Poço do Icó,14/04/2008,,110,Fetraf
Santa Maria da Boa Vista,Fazenda Planalto,14/04/2008,,112,Fetraf
Santa Maria da Boa Vista,Fazenda Iracema,06/04/2008,,102,Fetraf
Santa Maria da Boa Vista,Fazenda Iracema II,06/04/2008,,105,Fetraf
Santa Maria da Boa Vista,Fazenda Iracema III,06/04/2008,,100,Fetraf
Santa Maria da Boa Vista,Fazenda Catolé,06/04/2008,,116,Fetraf
Santa Maria da Boa Vista,Fazenda Porto,13/04/2008,,300,MST
São Joaquim do Monte,Faz. Sta. Maria/Consulta,13/04/2008,2045,180,MST
São Joaquim do Monte,Faz. Jaboticaba/4 Irmãos,26/10/2008,,80,MST
São José do Belmonte,Fazenda Baixa Grande,12/04/2008,,160,MST
São José do Egito,Fazenda Poço de Dica,18/10/2008,,25,CPT
São José do Egito,Fazenda Melancia,14/04/2008,,150,MST
Serra Talhada,Fazenda Tiú,13/04/2008,,80,MST
Sertânia,Fazenda Jatobá,17/03/2008,,25,CPT
Sertânia,Faz. Arizona/Sítio Pinheiro,13/10/2008,,27,CPT
Sertânia,Fazenda Jatobá I,07/09/2008,,30,CPT
Sertânia,Área da Compesa,03/11/2008,,25,CPT
Timbaúba,Engenho Várzea Nova,12/04/2008,1200,140,MST
Subtotal:,52,,13413,5940,
Rio de Janeiro,,,,,
"Campos dos Goytacazes/Rio deJaneiro",Faz. São Cristóvão/Acamp. 17 de Abril,19/04/2008,,,MST
"Campos dos Goytacazes/Rio deJaneiro",Faz. São Cristóvão/Acamp. 17 de Abril,12/05/2008,458,230,MST
Subtotal:,2,,458,230,
Rio Grande do Norte,,,,,
Mossoró,Faz. Maísa/Assent. Eldorado dos Carajás II,08/03/2008,2400,490,MST
Subtotal:,1,,2400,490,
Rio Grande do Sul,,,,,
Barra do Ribeiro/Canguçu,Área da  Aracruz Celulose,21/05/2008,,60,MST
Canguçu,Fazenda São João da Armada,08/09/2008,1100,200,MST
Coqueiros do Sul,Faz. Guerra/Coqueiros,14/01/2008,7000,300,MST
Guaíba,Faz. Finca/Juan Carlos Abadia,21/01/2008,129,300,MST
Herval,Fazenda da Votorantim,11/06/2008,,40,MPA/ MST
