Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Marabá Paulista,Fazenda Floresta,14/01/2016,,50,FNL
Mirante do Paranapanema,Fazenda Santa Cruz,27/01/2016,,,MST
Mirante do Paranapanema,Fazenda Santa Cruz,01/04/2016,,,MST
Mirante do Paranapanema,Fazenda Santa Cruz,02/05/2016,900,43,MST
Pirajuí,Faz. Santa Maria/Grupo Atalla,12/03/2016,,,MST
Pirajuí,Faz. Santa Maria/Grupo Atalla,03/09/2016,,300,MST
Ribeirão Preto,"Área da Estação Experimental de Zootecnia -APTA",16/07/2016,,250,MST
Ribeirão Preto,Faz. Sta. Lydia/Soc. Agrícola Santa Elydia,11/12/2016,,300,MST
Serrana,Faz. Martinópolis/Usina Nova União,14/03/2016,,400,MST
Subtotal:,28,,7376,3267,
Sergipe,,,,,
São Cristóvão,Fazenda São José,06/08/2016,,80,OI
Subtotal:,1,,0,80,
Tocantins,,,,,
,Acampamento Levinha,01/07/2016,,74,OI
Municípios,Nome do Imóvel,Data,Área,Famílias,Organização
Araguaína,"Loteamento Caju Manso/Lt. 2/Faz. Pinheiro/Com.Gurgueia",24/02/2016,100,18,OI
Araguaína/Babaçulândia/Filadélfia,"Faz. Boa Esperança/Itaparica/Água Viva/Acamp.na TO-222",05/07/2016,,50,OI
Araguatins,Fazenda Água Amarela/Acamp. Fidel Castro,01/12/2016,,80,FNL
"Araguatins/São Sebastião doTocantins",Fazenda Ozara II,08/04/2016,524,150,MST
Carrasco Bonito,P. A. Cupim/Acamp. Santa Maria,26/06/2016,,146,ASMPA
Carrasco Bonito/Sampaio,P. A. Cupim/Faz. Alto Bonito/Acamp. Pe. Josimo,28/03/2016,537,,MST
Piraquê,Faz. Santa Isabel III/Acamp. Capela,07/01/2016,206,28,OI
Sampaio,Projeto de Irrigação Sampaio/Acamp. Paulo Freire,29/04/2016,,50,MST
Wanderlândia,Fazenda Santa Maria,31/12/2016,,50,OI
Wanderlândia,Fazenda Boqueirão,31/05/2016,,82,OI
Subtotal:,11,,13691,728,
